тип населенного пункта;численность населения;год рождения;возраст;образование;семейное положение;пол;день рождения;месяц рождения;жили в другом городе;национальность;трудоустройство;удовлетворенность работой;удовлетворенность оплатой;отрасль где работаете;месячная зарплата;были ли в отпуске последние 12 месяцев;удовлетворенность материальным положением;сколько классов закончили;в какой школе учились;вера;получаете пенсию;испытывате чувство одиночества;вес;рост;пульс;размер семьи;вы счастливы?
Областной центр;508887;1977;40;техникум с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;3;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;АРМИЯ, МВД, ОРГАНЫ БЕЗОПАСНОСТИ;40000;Да;Совсем не удовлетворены;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;100;181;54;4;Нет
Областной центр;12325387;1983;34;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;16;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;АРМИЯ, МВД, ОРГАНЫ БЕЗОПАСНОСТИ;46000;Да;Совсем не удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;53;160;59;1;Да
Областной центр;1143535;1991;26;есть диплом о высшем образовании;ОФИЦИАЛЬНО ЗАРЕГИСТРИРОВАНЫ, НО ВМЕСТЕ НЕ ПРОЖИВАЮТ;МУЖСКОЙ;1;Декабрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ЗДРАВООХРАНЕНИЕ;50000;Да;Не очень удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;93;175;65;4;Да
Село;1201;1970;47;9 классов школы;Состоите в зарегистрированном браке;МУЖСКОЙ;17;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;НЕФТЕГАЗОВАЯ ПРОМЫШЛЕННОСТЬ;60000;Нет;Скорее удовлетворены;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;76;176;80;4;Да
Село;327;1965;52;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;20;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;СЕЛЬСКОЕ ХОЗЯЙСТВО;7500;Да;И да, и нет;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;80;167;55;4;Нет
Город;26830;1955;62;техникум с дипломом;Bдовец (вдова);ЖЕНСКИЙ;5;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ЗДРАВООХРАНЕНИЕ;9000;Да;Не очень удовлетворены;8;В школе другого типа;ПРАВОСЛАВИЕ;Да;Часто;75;158;64;5;Нет
Областной центр;744995;1973;43;техникум с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;8;Октябрь;Нет;АРМЯНИН(КА);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ЗДРАВООХРАНЕНИЕ;13000;Да;Не очень удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;82;165;72;5;Да
Областной центр;1143535;1969;48;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;18;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;И ДА, И НЕТ;АРМИЯ, МВД, ОРГАНЫ БЕЗОПАСНОСТИ;15000;Нет;Скорее удовлетворены;8;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Практически никогда;93;185;65;2;Да
Город;31722;1974;43;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;25;Сентябрь;Нет;ЧУВАШ(КА);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ЛЕГКАЯ, ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ;15000;Да;Совсем не удовлетворены;8;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;75;164;78;2;Да
Село;1638;1984;32;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;30;Сентябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ТРАНСПОРТ, СВЯЗЬ;15000;Нет;Скорее удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;68;176;57;1;Да
Город;97384;1974;42;есть диплом о высшем образовании;Живете вместе, но не зарегистрированы;ЖЕНСКИЙ;2;Декабрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СОВСЕМ НЕ УДОВЛЕТВОРЕНЫ;ОБРАЗОВАНИЕ;17000;Да;Не очень удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;80;164;54;2;Да
Село;7613;1969;48;аспирантура и т.п. с дипломом;Никогда в браке не состояли;ЖЕНСКИЙ;7;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ЗДРАВООХРАНЕНИЕ;17000;Да;Скорее удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;ЗАТРУДНЯЮСЬ ОТВЕТИТЬ;56;162;67;1;Да
Областной центр;524669;1989;28;есть диплом о высшем образовании;Никогда в браке не состояли;ЖЕНСКИЙ;17;Ноябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ОРГАНЫ УПРАВЛЕНИЯ;17500;Да;Не очень удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;60;178;72;1;Да
ПГТ;3500;1972;45;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;17;Декабрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;17680;Да;Скорее удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;64;159;64;3;Да
Город;97296;1991;26;9 классов школы;Живете вместе, но не зарегистрированы;ЖЕНСКИЙ;7;Ноябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ЛЕГКАЯ, ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ;18000;Нет;Не очень удовлетворены;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;80;169;85;1;Да
Областной центр;837900;1989;28;техникум с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;7;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы находитесь в отпуске - декретном или по уходу за ребенком до 3-х лет;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ЗДРАВООХРАНЕНИЕ;20000;Нет;И да, и нет;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;78;172;57;1;Да
Село;1300;1953;64;есть диплом о высшем образовании;Разведены и в браке не состоите;ЖЕНСКИЙ;14;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ОБРАЗОВАНИЕ;20300;Да;Скорее удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Часто;63;167;77;5;Да
Областной центр;12325387;1939;78;есть диплом о высшем образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;9;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ОБРАЗОВАНИЕ;22000;Да;Скорее удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Редко;68;178;68;4;Да
Село;2357;1995;22;техникум с дипломом;Никогда в браке не состояли;ЖЕНСКИЙ;15;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ЗДРАВООХРАНЕНИЕ;24000;Нет;И да, и нет;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;58;164;55;1;ЗАТРУДНЯЮСЬ ОТВЕТИТЬ
ПГТ;12161;1967;50;1-2 года в высшем учебном заведении;Состоите в зарегистрированном браке;МУЖСКОЙ;18;Сентябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;АРМИЯ, МВД, ОРГАНЫ БЕЗОПАСНОСТИ;25000;Да;Не очень удовлетворены;10;В обычной средней школе;НИ К КАКОЙ РЕЛИГИИ;Да;Практически никогда;113;168;85;4;Нет
Село;1320;1969;48;техникум с дипломом;Разведены и в браке не состоите;МУЖСКОЙ;24;Сентябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СТРОИТЕЛЬСТВО;25000;Нет;И да, и нет;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Часто;75;166;56;2;Да
Областной центр;744995;1979;38;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;30;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;30000;Да;Не очень удовлетворены;9;В вечерней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;95;171;59;5;Да
Город;16395;1985;32;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;28;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы находитесь в отпуске - декретном или по уходу за ребенком до 3-х лет;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ОРГАНЫ УПРАВЛЕНИЯ;30000;Да;И да, и нет;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;50;160;57;3;Да
Областной центр;1143535;1983;34;техникум с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;29;Октябрь;Нет;ТАТАРИН(КА);Вы сейчас работаете;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ЛЕГКАЯ, ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ;32000;Да;И да, и нет;11;В обычной средней школе;МУСУЛЬМАНСТВО;Нет;Редко;63;160;57;4;Да
